247
Feature_ID,AspectRatios_0,AspectRatios_1,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumCells,NumElements,NumNeighbors,Omega3s,Phases,SurfaceFeatures,Volumes,Volumes_2,Volumes_3
1,0.92117673,0.68214673,0.046826243,0.18990716,0.24995592,0.94829565,3.4912016,2.1004109,0.54207319,7.5937123,6.995151,5.1800261,33.340164,54.036884,12.438524,12.21004,5.2511601,1.6120341,5.2689815,0,61,12,0.38671482,1,0,953.125,953.125,953.125
2,0.42683113,0.12905259,-0.50828165,0.38572422,0.5467515,0.54215252,4.7083182,1.571074,1.4661896,29.934786,12.777099,3.8631618,65.833336,7.1794872,21.346153,13.25273,4.8444042,1.3839784,6.1427231,0,78,11,0.00029605429,1,1,1218.75,1218.75,1218.75
3,0.69483417,0.59469724,-0.58338249,0.74179584,-0.25505096,0.21060115,6.1538067,0.87861735,5.5063295,8.4785299,5.8911724,5.0421581,52.198277,7.8879309,13.189655,12.006501,4.2660294,1.621966,4.090116,0,58,8,0.46784636,1,0,906.25,906.25,906.25
4,0.7039119,0.50459069,-0.42093819,0.69796449,0.041658338,0.5778591,4.2906656,1.2919011,1.0136385,10.777943,7.5867224,5.4384499,56.658653,16.25,12.403846,14.586517,6.2593775,2.4673698,1.7849418,0,104,14,0.5052399,1,0,1625,1625,1625
5,0.67505068,0.6094591,-0.96238047,-0.08029516,-0.25651988,0.039674394,5.0117493,0.58098841,0.26868755,10.78261,7.2788086,6.5715604,49.927685,22.035124,29.679752,15.341539,5.0996532,1.7115005,0.78796148,0,121,18,0.5132398,1,0,1890.625,1890.625,1890.625
6,0.65095156,0.55013293,0.60060632,-0.24294865,-0.063602902,0.75908017,1.5295141,2.8742487,1.9792703,11.745687,7.6458735,6.4616895,23.5,65.125,60.285713,16.105833,2.8408024,1.4096031,3.6095715,0,140,16,0.59025449,1,1,2187.5,2187.5,2187.5
7,0.97608674,0.78492665,-0.70495117,0.50549555,0.14551781,0.47575489,5.23669,0.19823955,3.8511722,7.7736597,7.5877666,6.1017528,37.824074,37.51543,26.620371,13.420504,3.3634253,0.63342202,1.5467353,0,81,12,0.41697654,1,0,1265.625,1265.625,1265.625
8,0.84506977,0.53030783,-0.70495117,0.50549555,0.14551781,0.47575489,0.77227104,1.6823905,1.5671189,8.4829779,7.1687078,4.4985895,45.846775,45.322582,13.75,12.276401,2.5474501,1.6658747,4.9305348,0,62,13,0.43180454,1,0,968.75,968.75,968.75
9,0.85108507,0.62924099,-0.04792757,0.95343763,-0.033890717,0.29582283,2.0263815,2.8091412,1.2784296,8.0044317,6.8124523,5.0367165,43.710316,53.551586,18.511906,12.342051,2.487886,0.93059456,0.8727659,0,63,12,0.45861909,1,0,984.375,984.375,984.375
10,0.76277471,0.52160853,-0.35892853,0.48249927,-0.73214263,0.31989366,1.4270029,1.7751117,5.2312102,9.4192657,7.1847777,4.9131694,24.375,63.651318,12.631579,13.138476,4.4833632,2.314445,2.8607078,0,76,12,0.45057255,1,0,1187.5,1187.5,1187.5
